,ds,yhat
268,2022-10-12,45546.7799043332
269,2022-10-13,45542.95652940054
270,2022-10-14,45514.200975491425
271,2022-10-15,45503.45792931224
272,2022-10-16,45483.70638740866
273,2022-10-17,45470.694397510415
274,2022-10-18,45447.314588598136
275,2022-10-19,45408.51876117623
276,2022-10-20,45404.69538624361
277,2022-10-21,45375.93983233449
278,2022-10-22,45365.19678615533
279,2022-10-23,45345.44524425169
280,2022-10-24,45332.43325435348
281,2022-10-25,45309.05344544115
282,2022-10-26,45270.257618019314
283,2022-10-27,45266.43424308665
284,2022-10-28,45237.678689177555
285,2022-10-29,45226.93564299839
286,2022-10-30,45207.18410109483
287,2022-10-31,45194.17211119657
288,2022-11-01,45170.79230228432
289,2022-11-02,45131.99647486239
290,2022-11-03,45128.17309992973
291,2022-11-04,45099.417546020624
292,2022-11-05,45088.67449984145
293,2022-11-06,45068.92295793786
294,2022-11-07,45055.91096803963
295,2022-11-08,45032.53115912735
296,2022-11-09,44993.73533170545
297,2022-11-10,44989.91195677279
298,2022-11-11,44961.15640286367
299,2022-11-12,44950.4133566845
300,2022-11-13,44930.6618147809
301,2022-11-14,44917.64982488268
302,2022-11-15,44894.2700159704
303,2022-11-16,44855.47418854852
304,2022-11-17,44851.650813615866
305,2022-11-18,44822.89525970677
306,2022-11-19,44812.152213527595
307,2022-11-20,44792.40067162403
308,2022-11-21,44779.38868172574
309,2022-11-22,44756.008872813465
310,2022-11-23,44717.21304539158
311,2022-11-24,44713.389670458935
312,2022-11-25,44684.634116549816
313,2022-11-26,44673.89107037066
314,2022-11-27,44654.139528467065
315,2022-11-28,44641.12753856885
316,2022-11-29,44617.747729656534
317,2022-11-30,44578.95190223466
318,2022-12-01,44575.128527302
319,2022-12-02,44546.372973392885
320,2022-12-03,44535.62992721371
321,2022-12-04,44515.878385310105
322,2022-12-05,44502.86639541185
323,2022-12-06,44479.486586499566
324,2022-12-07,44440.6907590777
325,2022-12-08,44436.86738414508
326,2022-12-09,44408.111830235954
327,2022-12-10,44397.36878405677
328,2022-12-11,44377.6172421532
329,2022-12-12,44364.60525225495
330,2022-12-13,44341.22544334263
331,2022-12-14,44302.42961592077
332,2022-12-15,44298.60624098812
333,2022-12-16,44269.85068707903
334,2022-12-17,44259.10764089987
335,2022-12-18,44239.35609899628
336,2022-12-19,44226.34410909805
337,2022-12-20,44202.96430018575
338,2022-12-21,44164.168472763835
339,2022-12-22,44160.3450978312
340,2022-12-23,44131.58954392208
341,2022-12-24,44120.84649774289
342,2022-12-25,44101.09495583931
343,2022-12-26,44088.08296594106
344,2022-12-27,44064.70315702881
345,2022-12-28,44025.90732960689
346,2022-12-29,44022.083954674265
347,2022-12-30,43993.32840076513
348,2022-12-31,43982.58535458597
349,2023-01-01,43962.83381268236
350,2023-01-02,43949.82182278416
351,2023-01-03,43926.442013871834
352,2023-01-04,43887.64618644994
353,2023-01-05,43883.822811517304
354,2023-01-06,43855.06725760822
355,2023-01-07,43844.32421142903
356,2023-01-08,43824.57266952544
357,2023-01-09,43811.56067962722
358,2023-01-10,43788.18087071495
359,2023-01-11,43749.38504329304
360,2023-01-12,43745.56166836038
361,2023-01-13,43716.80611445127
362,2023-01-14,43706.063068272095
363,2023-01-15,43686.311526368525
364,2023-01-16,43673.29953647032
365,2023-01-17,43649.919727557965
366,2023-01-18,43611.1239001361
367,2023-01-19,43607.30052520345
368,2023-01-20,43578.54497129434
369,2023-01-21,43567.80192511515
370,2023-01-22,43548.050383211565
371,2023-01-23,43535.03839331333
372,2023-01-24,43511.658584401
373,2023-01-25,43472.86275697916
374,2023-01-26,43469.03938204652
375,2023-01-27,43440.283828137406
376,2023-01-28,43429.54078195825
377,2023-01-29,43409.7892400547
378,2023-01-30,43396.777250156425
379,2023-01-31,43373.397441244095
380,2023-02-01,43334.601613822226
381,2023-02-02,43330.778238889594
382,2023-02-03,43302.02268498048
383,2023-02-04,43291.27963880134
384,2023-02-05,43271.52809689773
385,2023-02-06,43258.51610699948
386,2023-02-07,43235.13629808718
387,2023-02-08,43196.34047066531
388,2023-02-09,43192.51709573266
389,2023-02-10,43163.76154182353
390,2023-02-11,43153.01849564436
391,2023-02-12,43133.26695374077
392,2023-02-13,43120.25496384253
393,2023-02-14,43096.87515493025
394,2023-02-15,43058.07932750834
395,2023-02-16,43054.25595257573
396,2023-02-17,43025.50039866662
397,2023-02-18,43014.75735248745
398,2023-02-19,42995.005810583854
399,2023-02-20,42981.99382068559
400,2023-02-21,42958.614011773265
401,2023-02-22,42919.81818435143
402,2023-02-23,42915.99480941877
403,2023-02-24,42887.239255509674
404,2023-02-25,42876.496209330515
405,2023-02-26,42856.744667426945
406,2023-02-27,42843.732677528686
407,2023-02-28,42820.35286861643
408,2023-03-01,42781.55704119451
409,2023-03-02,42777.73366626185
410,2023-03-03,42748.978112352735
411,2023-03-04,42738.23506617357
412,2023-03-05,42718.48352426998
413,2023-03-06,42705.4715343717
414,2023-03-07,42682.091725459446
415,2023-03-08,42643.29589803755
416,2023-03-09,42639.47252310491
417,2023-03-10,42610.71696919579
418,2023-03-11,42599.973923016616
419,2023-03-12,42580.22238111302
420,2023-03-13,42567.21039121481
421,2023-03-14,42543.830582302515
422,2023-03-15,42505.034754880624
423,2023-03-16,42501.211379947985
424,2023-03-17,42472.45582603888
425,2023-03-18,42461.712779859714
426,2023-03-19,42441.961237956144
427,2023-03-20,42428.949248057856
